Data Year	County Number	County Name	District Number	District Type	District Name	School Number	School Name	ECSU Number	Economic Development Region	School Classification	Grade	Total Enrollment	Filter Groups	Total Female Count	Total Female Percent	Total Male Count	Total Male Percent	Total American Indian or Alaska Native Count	Total American Indian or Alaska Native Percent	American Indian or Alaska Native Female Count	American Indian or Alaska Native Male Count	Total Asian Count	Total Asian Percent	Asian Female Count	Asian Male Count	Total Native Hawaiian or Pacific Islander Count	Total Native Hawaiian or Pacific Islander Percent	Native Hawaiian or Pacific Islander Female Count	Native Hawaiian or Pacific Islander Male Count	Total Hispanic or Latino Count	Total Hispanic or Latino Percent	Hispanic or Latino Female Count	Hispanic or Latino Male Count	Total Black or African American Count	Total Black or African American Percent	Black or African American Female Count	Black or African American Male Count	Total White Count	Total White Percent	White Female Count	White Male Count	Total Two or More Races Count	Total Two or More Races Percent	Two or More Races Female Count	Two or More Races Male Count	Total Students of Color or American Indian Count	Total Students of Color or American Indian Percent	Total Students Eligible for Free or Reduced Priced Meals Count	Total Students Eligible for Free or Reduced Priced Meals Percent	Total Students Receiving Special Education Services Count	Total Students Receiving Special Education Services Percent	Total English Learner Identified Count	Total English Learner Identified Percent	Total Students Experiencing Homelessness Count	Total Students Experiencing Homelessness Percent	Additional Suppression Free or Reduced Priced Meals Applied	Additional Suppression Special Education Applied	Additional Suppression English Learner Identified Applied	Additional Suppression Homeless Applied
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	30	Perham Senior High	4	4	32	9	120	N	62	51.67%	58	48.33%	1	0.83%	0	1	2	1.67%	2	0	0	0.00%	0	0	14	11.67%	8	6	1	0.83%	0	1	97	80.83%	50	47	5	4.17%	2	3	23	19.17%	29	24.17%	19	15.83%	1	0.83%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	30	Perham Senior High	4	4	32	10	115	N	64	55.65%	51	44.35%	1	0.87%	1	0	0	0.00%	0	0	0	0.00%	0	0	8	6.96%	5	3	0	0.00%	0	0	101	87.83%	56	45	5	4.35%	2	3	14	12.17%	28	24.35%	15	13.04%	1	0.87%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	30	Perham Senior High	4	4	32	11	108	N	55	50.93%	53	49.07%	0	0.00%	0	0	2	1.85%	2	0	0	0.00%	0	0	11	10.19%	6	5	3	2.78%	1	2	87	80.56%	43	44	5	4.63%	3	2	21	19.44%	20	18.52%	16	14.81%	1	0.93%	1	0.93%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	30	Perham Senior High	4	4	32	12	88	N	49	55.68%	39	44.32%	1	1.14%	1	0	0	0.00%	0	0	0	0.00%	0	0	9	10.23%	5	4	0	0.00%	0	0	76	86.36%	41	35	2	2.27%	2	0	12	13.64%	13	14.77%	13	14.77%	2	2.27%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	30	Perham Senior High	4	4	32	All Grades	431	N	230	53.36%	201	46.64%	3	0.70%	2	1	4	0.93%	4	0	0	0.00%	0	0	42	9.74%	24	18	4	0.93%	1	3	361	83.76%	190	171	17	3.94%	9	8	70	16.24%	90	20.88%	63	14.62%	5	1.16%	1	0.23%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	80	Perham Area Learning Center	4	4	41	7	3	Y	0	0.00%	3	100.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	66.67%	0	2	1	33.33%	0	1	1	33.33%									Y	Y	Y	Y
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	80	Perham Area Learning Center	4	4	41	8	8	Y	4	50.00%	4	50.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	4	50.00%	1	3	0	0.00%	0	0	3	37.50%	2	1	1	12.50%	1	0	5	62.50%									Y	Y	Y	Y
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	80	Perham Area Learning Center	4	4	41	10	10	N	2	20.00%	8	80.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	4	40.00%	1	3	1	10.00%	0	1	5	50.00%	1	4	0	0.00%	0	0	5	50.00%	6	60.00%	2	20.00%	2	20.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	80	Perham Area Learning Center	4	4	41	11	18	N	6	33.33%	12	66.67%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	16.67%	3	0	0	0.00%	0	0	14	77.78%	2	12	1	5.56%	1	0	4	22.22%	5	27.78%	9	50.00%	1	5.56%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	80	Perham Area Learning Center	4	4	41	12	19	N	9	47.37%	10	52.63%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	15.79%	2	1	1	5.26%	0	1	15	78.95%	7	8	0	0.00%	0	0	4	21.05%	4	21.05%	2	10.53%	1	5.26%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	549	1	Perham-Dent Public School District	80	Perham Area Learning Center	4	4	41	All Grades	58	N	21	36.21%	37	63.79%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	14	24.14%	7	7	2	3.45%	0	2	39	67.24%	12	27	3	5.17%	2	1	19	32.76%	17	29.31%	13	22.41%	6	10.34%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	KG	33	N	11	33.33%	22	66.67%	0	0.00%	0	0	0	0.00%	0	0	1	3.03%	0	1	0	0.00%	0	0	2	6.06%	1	1	30	90.91%	10	20	0	0.00%	0	0	3	9.09%	9	27.27%	4	12.12%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	1	40	N	19	47.50%	21	52.50%	0	0.00%	0	0	1	2.50%	1	0	0	0.00%	0	0	2	5.00%	1	1	0	0.00%	0	0	37	92.50%	17	20	0	0.00%	0	0	3	7.50%	12	30.00%	1	2.50%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	2	43	N	22	51.16%	21	48.84%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	42	97.67%	21	21	1	2.33%	1	0	1	2.33%	11	25.58%	3	6.98%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	3	45	N	20	44.44%	25	55.56%	0	0.00%	0	0	1	2.22%	0	1	0	0.00%	0	0	1	2.22%	1	0	0	0.00%	0	0	43	95.56%	19	24	0	0.00%	0	0	2	4.44%	15	33.33%	4	8.89%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	4	41	N	16	39.02%	25	60.98%	1	2.44%	1	0	0	0.00%	0	0	0	0.00%	0	0	2	4.88%	1	1	2	4.88%	2	0	35	85.37%	12	23	1	2.44%	0	1	6	14.63%	14	34.15%	5	12.20%	1	2.44%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	5	42	N	20	47.62%	22	52.38%	1	2.38%	1	0	1	2.38%	0	1	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	39	92.86%	18	21	1	2.38%	1	0	3	7.14%	12	28.57%	10	23.81%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	6	46	N	24	52.17%	22	47.83%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	4.35%	2	0	0	0.00%	0	0	44	95.65%	22	22	0	0.00%	0	0	2	4.35%	11	23.91%	10	21.74%	1	2.17%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	10	Underwood Elementary	4	4	10	All Grades	290	N	132	45.52%	158	54.48%	2	0.69%	2	0	3	1.03%	1	2	1	0.34%	0	1	7	2.41%	5	2	4	1.38%	3	1	270	93.10%	119	151	3	1.03%	2	1	20	6.90%	84	28.97%	37	12.76%	2	0.69%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	20	Underwood Secondary	4	4	33	7	48	N	20	41.67%	28	58.33%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	2.08%	0	1	47	97.92%	20	27	0	0.00%	0	0	1	2.08%	22	45.83%	9	18.75%	1	2.08%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	20	Underwood Secondary	4	4	33	8	47	N	20	42.55%	27	57.45%	0	0.00%	0	0	2	4.26%	1	1	0	0.00%	0	0	1	2.13%	0	1	1	2.13%	0	1	42	89.36%	18	24	1	2.13%	1	0	5	10.64%	13	27.66%	6	12.77%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	20	Underwood Secondary	4	4	33	9	39	N	21	53.85%	18	46.15%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	39	100.00%	21	18	0	0.00%	0	0	0	0.00%	11	28.21%	2	5.13%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	20	Underwood Secondary	4	4	33	10	42	N	21	50.00%	21	50.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	2.38%	0	1	41	97.62%	21	20	0	0.00%	0	0	1	2.38%	12	28.57%	3	7.14%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	20	Underwood Secondary	4	4	33	11	49	N	27	55.10%	22	44.90%	0	0.00%	0	0	1	2.04%	0	1	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	48	97.96%	27	21	0	0.00%	0	0	1	2.04%	6	12.24%	5	10.20%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	20	Underwood Secondary	4	4	33	12	48	N	24	50.00%	24	50.00%	0	0.00%	0	0	1	2.08%	0	1	0	0.00%	0	0	1	2.08%	0	1	1	2.08%	0	1	45	93.75%	24	21	0	0.00%	0	0	3	6.25%	12	25.00%	9	18.75%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	550	1	Underwood Public School District	20	Underwood Secondary	4	4	33	All Grades	273	N	133	48.72%	140	51.28%	0	0.00%	0	0	4	1.47%	1	3	0	0.00%	0	0	2	0.73%	0	2	4	1.47%	0	4	262	95.97%	131	131	1	0.37%	1	0	11	4.03%	76	27.84%	34	12.45%	1	0.37%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	ECSE	10	N	3	30.00%	7	70.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	9	90.00%	3	6	1	10.00%	0	1	1	10.00%	2	20.00%		>=90%	0	0.00%	0	0.00%	N	Y	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	KG	63	N	30	47.62%	33	52.38%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	60	95.24%	29	31	3	4.76%	1	2	3	4.76%	19	30.16%	10	15.87%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	1	69	N	30	43.48%	39	56.52%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	1.45%	1	0	1	1.45%	1	0	64	92.75%	26	38	3	4.35%	2	1	5	7.25%	19	27.54%	12	17.39%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	2	50	N	25	50.00%	25	50.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	47	94.00%	25	22	3	6.00%	0	3	3	6.00%	19	38.00%	10	20.00%	0	0.00%	1	2.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	3	52	N	28	53.85%	24	46.15%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	1.92%	1	0	0	0.00%	0	0	51	98.08%	27	24	0	0.00%	0	0	1	1.92%	18	34.62%	13	25.00%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	4	42	N	22	52.38%	20	47.62%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	41	97.62%	21	20	1	2.38%	1	0	1	2.38%	12	28.57%	6	14.29%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	5	63	N	30	47.62%	33	52.38%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	61	96.83%	29	32	2	3.17%	1	1	2	3.17%	19	30.16%	11	17.46%	0	0.00%	1	1.59%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	6	50	N	18	36.00%	32	64.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	50	100.00%	18	32	0	0.00%	0	0	0	0.00%	18	36.00%	7	14.00%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	10	New York Mills Elementary	4	4	10	All Grades	399	N	186	46.62%	213	53.38%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	0.50%	2	0	1	0.25%	1	0	383	95.99%	178	205	13	3.26%	5	8	16	4.01%	126	31.58%	79	19.80%	0	0.00%	2	0.50%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	20	New York Mills Secondary	4	4	33	7	50	N	26	52.00%	24	48.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	2.00%	0	1	0	0.00%	0	0	49	98.00%	26	23	0	0.00%	0	0	1	2.00%	17	34.00%	11	22.00%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	20	New York Mills Secondary	4	4	33	8	72	N	39	54.17%	33	45.83%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	4.17%	1	2	0	0.00%	0	0	69	95.83%	38	31	0	0.00%	0	0	3	4.17%	17	23.61%	15	20.83%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	20	New York Mills Secondary	4	4	33	9	53	N	29	54.72%	24	45.28%	1	1.89%	1	0	0	0.00%	0	0	0	0.00%	0	0	3	5.66%	2	1	1	1.89%	0	1	45	84.91%	24	21	3	5.66%	2	1	8	15.09%	19	35.85%	8	15.09%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	20	New York Mills Secondary	4	4	33	10	63	N	33	52.38%	30	47.62%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	1.59%	1	0	0	0.00%	0	0	60	95.24%	31	29	2	3.17%	1	1	3	4.76%	12	19.05%	11	17.46%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	20	New York Mills Secondary	4	4	33	11	53	N	26	49.06%	27	50.94%	1	1.89%	0	1	0	0.00%	0	0	0	0.00%	0	0	1	1.89%	0	1	1	1.89%	1	0	50	94.34%	25	25	0	0.00%	0	0	3	5.66%	8	15.09%	11	20.75%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	20	New York Mills Secondary	4	4	33	12	49	N	22	44.90%	27	55.10%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	47	95.92%	22	25	2	4.08%	0	2	2	4.08%	8	16.33%	3	6.12%	0	0.00%	0	0.00%	N	N	N	N
20-21	56	Otter Tail	553	1	New York Mills Public School Dist.	20	New York Mills Secondary	4	4	33	All Grades	340	N	175	51.47%	165	48.53%	2	0.59%	1	1	0	0.00%	0	0	0	0.00%	0	0	9	2.65%	4	5	2	0.59%	1	1	320	94.12%	166	154	7	2.06%	3	4	20	5.88%	81	23.82%	59	17.35%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	ECSE	3	Y	1	33.33%	2	66.67%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	100.00%	1	2	0	0.00%	0	0	0	0.00%									Y	Y	Y	Y
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	PK	22	N	11	50.00%	11	50.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	4.55%	1	0	0	0.00%	0	0	20	90.91%	10	10	1	4.55%	0	1	2	9.09%	8	36.36%	0	0.00%					N	N	Y	Y
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	KG	20	N	10	50.00%	10	50.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	20	100.00%	10	10	0	0.00%	0	0	0	0.00%	13	65.00%	3	15.00%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	1	13	N	9	69.23%	4	30.77%	1	7.69%	1	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	11	84.62%	7	4	1	7.69%	1	0	2	15.38%	7	53.85%	3	23.08%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	2	23	N	13	56.52%	10	43.48%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	23	100.00%	13	10	0	0.00%	0	0	0	0.00%	12	52.17%	4	17.39%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	3	20	N	9	45.00%	11	55.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	20	100.00%	9	11	0	0.00%	0	0	0	0.00%	8	40.00%	3	15.00%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	4	19	N	9	47.37%	10	52.63%	2	10.53%	1	1	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	5.26%	0	1	16	84.21%	8	8	0	0.00%	0	0	3	15.79%	11	57.89%	2	10.53%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	5	17	N	9	52.94%	8	47.06%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	16	94.12%	9	7	1	5.88%	0	1	1	5.88%			2	11.76%	0	0.00%	0	0.00%	Y	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	6	23	N	12	52.17%	11	47.83%	0	0.00%	0	0	1	4.35%	0	1	0	0.00%	0	0	1	4.35%	1	0	0	0.00%	0	0	21	91.30%	11	10	0	0.00%	0	0	2	8.70%	11	47.83%	1	4.35%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	10	Goodridge Elementary	1 and 2	1	10	All Grades	160	N	83	51.88%	77	48.13%	3	1.88%	2	1	1	0.63%	0	1	0	0.00%	0	0	2	1.25%	2	0	1	0.63%	0	1	150	93.75%	78	72	3	1.88%	1	2	10	6.25%	76	47.50%	21	13.13%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	20	Goodridge Secondary	1 and 2	1	33	7	20	N	7	35.00%	13	65.00%	2	10.00%	2	0	0	0.00%	0	0	0	0.00%	0	0	3	15.00%	2	1	0	0.00%	0	0	15	75.00%	3	12	0	0.00%	0	0	5	25.00%	12	60.00%	3	15.00%					N	N	Y	Y
20-21	57	Pennington	561	1	Goodridge Public School District	20	Goodridge Secondary	1 and 2	1	33	8	15	N	11	73.33%	4	26.67%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	15	100.00%	11	4	0	0.00%	0	0	0	0.00%	8	53.33%	3	20.00%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	20	Goodridge Secondary	1 and 2	1	33	9	20	N	10	50.00%	10	50.00%	1	5.00%	1	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	19	95.00%	9	10	0	0.00%	0	0	1	5.00%	6	30.00%			0	0.00%	0	0.00%	N	Y	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	20	Goodridge Secondary	1 and 2	1	33	10	19	N	13	68.42%	6	31.58%	1	5.26%	0	1	0	0.00%	0	0	0	0.00%	0	0	1	5.26%	1	0	0	0.00%	0	0	17	89.47%	12	5	0	0.00%	0	0	2	10.53%			2	10.53%	0	0.00%	0	0.00%	Y	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	20	Goodridge Secondary	1 and 2	1	33	11	9	Y	5	55.56%	4	44.44%	1	11.11%	0	1	0	0.00%	0	0	0	0.00%	0	0	1	11.11%	0	1	0	0.00%	0	0	7	77.78%	5	2	0	0.00%	0	0	2	22.22%									Y	Y	Y	Y
20-21	57	Pennington	561	1	Goodridge Public School District	20	Goodridge Secondary	1 and 2	1	33	12	12	N	5	41.67%	7	58.33%	1	8.33%	1	0	0	0.00%	0	0	0	0.00%	0	0	2	16.67%	0	2	0	0.00%	0	0	9	75.00%	4	5	0	0.00%	0	0	3	25.00%	6	50.00%	3	25.00%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	561	1	Goodridge Public School District	20	Goodridge Secondary	1 and 2	1	33	All Grades	95	N	51	53.68%	44	46.32%	6	6.32%	4	2	0	0.00%	0	0	0	0.00%	0	0	7	7.37%	3	4	0	0.00%	0	0	82	86.32%	44	38	0	0.00%	0	0	13	13.68%	37	38.95%	13	13.68%	0	0.00%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	ECSE	34	N	13	38.24%	21	61.76%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	5.88%	1	1	0	0.00%	0	0	31	91.18%	12	19	1	2.94%	0	1	3	8.82%	13	38.24%		>=90%	0	0.00%	0	0.00%	N	Y	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	KG	128	N	67	52.34%	61	47.66%	3	2.34%	2	1	0	0.00%	0	0	0	0.00%	0	0	9	7.03%	4	5	2	1.56%	0	2	105	82.03%	57	48	9	7.03%	4	5	23	17.97%	44	34.38%	29	22.66%	2	1.56%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	1	135	N	66	48.89%	69	51.11%	2	1.48%	0	2	4	2.96%	1	3	0	0.00%	0	0	15	11.11%	8	7	0	0.00%	0	0	106	78.52%	52	54	8	5.93%	5	3	29	21.48%	53	39.26%	17	12.59%	2	1.48%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	2	122	N	60	49.18%	62	50.82%	2	1.64%	1	1	1	0.82%	0	1	0	0.00%	0	0	8	6.56%	5	3	3	2.46%	1	2	100	81.97%	50	50	8	6.56%	3	5	22	18.03%	46	37.70%	17	13.93%	2	1.64%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	3	147	N	79	53.74%	68	46.26%	3	2.04%	2	1	1	0.68%	1	0	0	0.00%	0	0	8	5.44%	2	6	1	0.68%	0	1	130	88.44%	72	58	4	2.72%	2	2	17	11.56%	47	31.97%	33	22.45%	4	2.72%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	4	140	N	68	48.57%	72	51.43%	9	6.43%	4	5	2	1.43%	1	1	0	0.00%	0	0	16	11.43%	9	7	3	2.14%	3	0	100	71.43%	48	52	10	7.14%	3	7	40	28.57%	47	33.57%	23	16.43%	5	3.57%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	5	125	N	70	56.00%	55	44.00%	4	3.20%	3	1	4	3.20%	3	1	0	0.00%	0	0	7	5.60%	1	6	1	0.80%	0	1	103	82.40%	58	45	6	4.80%	5	1	22	17.60%	44	35.20%	19	15.20%	2	1.60%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	31	Challenger Elementary	1 and 2	1	10	All Grades	831	N	423	50.90%	408	49.10%	23	2.77%	12	11	12	1.44%	6	6	0	0.00%	0	0	65	7.82%	30	35	10	1.20%	4	6	675	81.23%	349	326	46	5.54%	22	24	156	18.77%	294	35.38%	172	20.70%	17	2.05%	0	0.00%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	60	Franklin Middle	1 and 2	1	20	6	157	N	80	50.96%	77	49.04%	3	1.91%	2	1	3	1.91%	2	1	0	0.00%	0	0	9	5.73%	4	5	3	1.91%	2	1	127	80.89%	63	64	12	7.64%	7	5	30	19.11%	50	31.85%	22	14.01%	1	0.64%	4	2.55%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	60	Franklin Middle	1 and 2	1	20	7	151	N	70	46.36%	81	53.64%	5	3.31%	3	2	0	0.00%	0	0	0	0.00%	0	0	9	5.96%	5	4	5	3.31%	4	1	117	77.48%	50	67	15	9.93%	8	7	34	22.52%	59	39.07%	26	17.22%	1	0.66%	2	1.32%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	60	Franklin Middle	1 and 2	1	20	8	161	N	85	52.80%	76	47.20%	5	3.11%	3	2	1	0.62%	1	0	0	0.00%	0	0	9	5.59%	3	6	3	1.86%	2	1	137	85.09%	74	63	6	3.73%	2	4	24	14.91%	45	27.95%	20	12.42%	2	1.24%	2	1.24%	N	N	N	N
20-21	57	Pennington	564	1	Thief River Falls School District	60	Franklin Middle	1 and 2	1	20	All Grades	469	N	235	50.11%	234	49.89%	13	2.77%	8	5	4	0.85%	3	1	0	0.00%	0	0	27	5.76%	12	15	11	2.35%	8	3	381	81.24%	187	194	33	7.04%	17	16	88	18.76%	154	32.84%	68	14.50%	4	0.85%	8	1.71%	N	N	N	N
